#Wavelength (micron)	Flux (erg s-1 cm-2 micron-1)	 r2 F (cm2 erg s-1 cm-2 micron-1)
4.0655364475e+01	7.1898915895e+02	1.5212519525e+33
4.0574535422e+01	7.2735207947e+02	1.5389463906e+33
4.0492387431e+01	7.3362581914e+02	1.5522204971e+33
4.0412204486e+01	7.3975391718e+02	1.5651864522e+33
4.0330711837e+01	7.4546282139e+02	1.5772654683e+33
4.0251167284e+01	7.5691416224e+02	1.6014944493e+33
4.0170322166e+01	7.5892888893e+02	1.6057572492e+33
4.0089801155e+01	7.6674079358e+02	1.6222858366e+33
4.0009602305e+01	7.7219837763e+02	1.6338331045e+33
3.9929723686e+01	7.8240714955e+02	1.6554330327e+33
3.9850163386e+01	7.8594134868e+02	1.6629107634e+33
3.9770919504e+01	7.9261755377e+02	1.6770364146e+33
3.9691990156e+01	8.0366102987e+02	1.7004024269e+33
3.9611804318e+01	8.1154578026e+02	1.7170851429e+33
3.9533504645e+01	8.1267873837e+02	1.7194822788e+33
3.9453957232e+01	8.2378172481e+02	1.7429742044e+33
3.9376279729e+01	8.3336197201e+02	1.7632442871e+33
3.9297363147e+01	8.3805467301e+02	1.7731731998e+33
3.9218762256e+01	8.4774577422e+02	1.7936778297e+33
3.9140475165e+01	8.5265335941e+02	1.8040613987e+33
3.9062500000e+01	8.6272700895e+02	1.8253754323e+33
3.8984834899e+01	8.6894952111e+02	1.8385411506e+33
3.8905964284e+01	8.7560199031e+02	1.8526165809e+33
3.8828919779e+01	8.8463217727e+02	1.8717228349e+33
3.8752179810e+01	8.9373812932e+02	1.8909893943e+33
3.8674246819e+01	9.0236925447e+02	1.9092513053e+33
3.8596626655e+01	9.0529807107e+02	1.9154481553e+33
3.8519317438e+01	9.1581345212e+02	1.9376968133e+33
3.8442317303e+01	9.2390293160e+02	1.9548126993e+33
3.8365624401e+01	9.3652622414e+02	1.9815213196e+33
3.8289236896e+01	9.4370664973e+02	1.9967138107e+33
3.8213152967e+01	9.4956730804e+02	2.0091139113e+33
3.8137370810e+01	9.5905313014e+02	2.0291842075e+33
3.8060439979e+01	9.6977985550e+02	2.0518800322e+33
3.7985261718e+01	9.7843177435e+02	2.0701859389e+33
3.7908942720e+01	9.8439793888e+02	2.0828092717e+33
3.7832929782e+01	9.9180703987e+02	2.0984855990e+33
3.7757221069e+01	1.0031797614e+03	2.1225482356e+33
3.7681814756e+01	1.0149003451e+03	2.1473468859e+33
3.7606709037e+01	1.0185102526e+03	2.1549848020e+33
3.7531902117e+01	1.0327981347e+03	2.1852153950e+33
3.7457392216e+01	1.0410960583e+03	2.2027723112e+33
3.7383177570e+01	1.0502313062e+03	2.2221008554e+33
3.7307864498e+01	1.0569273210e+03	2.2362684203e+33
3.7232854271e+01	1.0702042805e+03	2.2643600825e+33
3.7159525844e+01	1.0748077346e+03	2.2741001647e+33
3.7085110328e+01	1.0896251064e+03	2.3054510626e+33
3.7010992265e+01	1.0967728331e+03	2.3205743690e+33
3.6937169874e+01	1.1066454777e+03	2.3414631121e+33
3.6863641390e+01	1.1154713223e+03	2.3601370143e+33
3.6790405062e+01	1.1284012782e+03	2.3874944793e+33
3.6716111030e+01	1.1355126479e+03	2.4025408606e+33
3.6643459143e+01	1.1457477751e+03	2.4241965519e+33
3.6569756811e+01	1.1550195651e+03	2.4438139944e+33
3.6496350365e+01	1.1659344167e+03	2.4669078604e+33
3.6424564726e+01	1.1816713182e+03	2.5002043181e+33
3.6351739431e+01	1.1863260293e+03	2.5100528511e+33
3.6279204760e+01	1.2009566273e+03	2.5410085693e+33
3.6206958978e+01	1.2074177639e+03	2.5546791741e+33
3.6133694670e+01	1.2188976025e+03	2.5789684512e+33
3.6062026686e+01	1.2265727101e+03	2.5952076005e+33
3.5990642433e+01	1.2448343977e+03	2.6338460525e+33
3.5918250063e+01	1.2547790904e+03	2.6548872364e+33
3.5846148331e+01	1.2656707678e+03	2.6779320700e+33
3.5774335492e+01	1.2759687327e+03	2.6997207145e+33
3.5704084547e+01	1.2885000238e+03	2.7262346762e+33
3.5632839225e+01	1.2988906395e+03	2.7482193531e+33
3.5560613065e+01	1.3126517971e+03	2.7773354915e+33
3.5489938602e+01	1.3235494899e+03	2.8003930527e+33
3.5419544505e+01	1.3296005193e+03	2.8131959444e+33
3.5348179569e+01	1.3471038670e+03	2.8502298851e+33
3.5278346151e+01	1.3616018495e+03	2.8809050125e+33
3.5207548498e+01	1.3681229962e+03	2.8947025881e+33
3.5137034434e+01	1.3812720973e+03	2.9225237248e+33
3.5066802258e+01	1.3961287466e+03	2.9539577270e+33
3.4996850283e+01	1.4067499726e+03	2.9764303340e+33
3.4927176836e+01	1.4125341037e+03	2.9886685167e+33
3.4857780257e+01	1.4329806991e+03	3.0319298409e+33
3.4788658897e+01	1.4375036773e+03	3.0414996506e+33
3.4718605701e+01	1.4578732088e+03	3.0845979215e+33
3.4648834067e+01	1.4639176308e+03	3.0973868331e+33
3.4580538073e+01	1.4774380538e+03	3.1259936203e+33
3.4511319713e+01	1.5000959080e+03	3.1739335711e+33
3.4442377902e+01	1.5105945791e+03	3.1961468739e+33
3.4373710986e+01	1.5176681209e+03	3.2111132183e+33
3.4305317324e+01	1.5301910327e+03	3.2376094508e+33
3.4236023144e+01	1.5551869803e+03	3.2904963876e+33
3.4168175761e+01	1.5613849058e+03	3.3036100850e+33
3.4099433949e+01	1.5807797371e+03	3.3446460653e+33
3.4032126327e+01	1.5937691730e+03	3.3721293791e+33
3.3963930306e+01	1.6080764717e+03	3.4024010540e+33
3.3896007050e+01	1.6228015130e+03	3.4335565974e+33
3.3828354927e+01	1.6289202789e+03	3.4465028073e+33
3.3760972316e+01	1.6475775092e+03	3.4859781562e+33
3.3693857610e+01	1.6640565006e+03	3.5208447431e+33
3.3625878476e+01	1.6787409558e+03	3.5519144134e+33
3.3559299282e+01	1.6959401562e+03	3.5883048330e+33
3.3491861478e+01	1.7098460171e+03	3.6177271376e+33
3.3425811412e+01	1.7160153451e+03	3.6307803277e+33
3.3358908497e+01	1.7408198641e+03	3.6832622358e+33
3.3292272863e+01	1.7485245748e+03	3.6995640202e+33
3.3225902914e+01	1.7652011023e+03	3.7348485578e+33
3.3159797062e+01	1.7812925952e+03	3.7688952672e+33
3.3092858561e+01	1.7930077899e+03	3.7936825154e+33
3.3027280534e+01	1.8100542756e+03	3.8297498183e+33
3.2960875441e+01	1.8298680081e+03	3.8716721183e+33
3.2895818941e+01	1.8456183324e+03	3.9049969763e+33
3.2829940906e+01	1.8629054051e+03	3.9415733179e+33
3.2764326202e+01	1.8820443753e+03	3.9820679420e+33
3.2698973252e+01	1.8941305243e+03	4.0076400630e+33
3.2633880495e+01	1.9141917285e+03	4.0500859687e+33
3.2567985670e+01	1.9327099904e+03	4.0892672857e+33
3.2503412858e+01	1.9501954044e+03	4.1262632819e+33
3.2438043337e+01	1.9685088826e+03	4.1650113132e+33
3.2373984266e+01	1.9860291031e+03	4.2020809537e+33
3.2309133792e+01	1.9997361324e+03	4.2310825663e+33
3.2244542611e+01	2.0095713800e+03	4.2518921842e+33
3.2180209171e+01	2.0325242052e+03	4.3004562407e+33
3.2116131933e+01	2.0517829526e+03	4.3412042919e+33
3.2052309369e+01	2.0624422321e+03	4.3637574133e+33
3.1987716717e+01	2.0818624924e+03	4.4048471967e+33
3.1924403014e+01	2.1083908817e+03	4.4609765049e+33
3.1860324338e+01	2.1195915452e+03	4.4846750975e+33
3.1796502385e+01	2.1366812578e+03	4.5208338607e+33
3.1732935614e+01	2.1657234172e+03	4.5822818549e+33
3.1669622498e+01	2.1779359236e+03	4.6081213255e+33
3.1606561522e+01	2.1936843623e+03	4.6414421938e+33
3.1543751183e+01	2.2190936545e+03	4.6952036934e+33
3.1481189989e+01	2.2287441562e+03	4.7156224220e+33
3.1417889346e+01	2.2532688516e+03	4.7675122736e+33
3.1354842755e+01	2.2808222285e+03	4.8258102715e+33
3.1293027913e+01	2.2950666758e+03	4.8559489642e+33
3.1230480949e+01	2.3142631417e+03	4.8965652388e+33
3.1168183518e+01	2.3409151839e+03	4.9529561743e+33
3.1105166568e+01	2.3609160092e+03	4.9952743290e+33
3.1043367585e+01	2.3702755778e+03	5.0150774956e+33
3.0981813675e+01	2.3989919583e+03	5.0758362002e+33
3.0919547338e+01	2.4103491685e+03	5.0998660176e+33
3.0857530780e+01	2.4436001549e+03	5.1702191338e+33
3.0796710911e+01	2.4530899924e+03	5.1902979259e+33
3.0735185641e+01	2.4876678290e+03	5.2634584192e+33
3.0673905708e+01	2.5003612410e+03	5.2903153996e+33
3.0611932531e+01	2.5303315006e+03	5.3537270871e+33
3.0551142613e+01	2.5525949206e+03	5.4008324860e+33
3.0490593652e+01	2.5768561307e+03	5.4521648501e+33
3.0429358245e+01	2.5965706757e+03	5.4938772872e+33
3.0368368308e+01	2.6153554833e+03	5.5336225669e+33
3.0307622367e+01	2.6439958684e+03	5.5942204788e+33
3.0247118962e+01	2.6665728706e+03	5.6419893615e+33
3.0186856643e+01	2.6895116020e+03	5.6905235980e+33
3.0126833971e+01	2.7015280704e+03	5.7159482874e+33
3.0067049520e+01	2.7251790844e+03	5.7659895859e+33
3.0006601452e+01	2.7561899758e+03	5.8316030637e+33
2.9947292765e+01	2.7853606937e+03	5.8933230645e+33
2.9887324786e+01	2.8031327098e+03	5.9309254593e+33
2.9827596492e+01	2.8380753815e+03	6.0048578780e+33
2.9768106451e+01	2.8432532569e+03	6.0158133325e+33
2.9708853238e+01	2.8717297392e+03	6.0760644555e+33
2.9648956357e+01	2.8959714231e+03	6.1273555057e+33
2.9590176062e+01	2.9280484020e+03	6.1952246330e+33
2.9530756283e+01	2.9596584140e+03	6.2621057423e+33
2.9472443266e+01	2.9732666320e+03	6.2908982880e+33
2.9413494911e+01	3.0065477614e+03	6.3613151815e+33
2.9354781894e+01	3.0278035657e+03	6.4062886465e+33
2.9296302807e+01	3.0623217752e+03	6.4793229794e+33
2.9237201415e+01	3.0886366431e+03	6.5350005146e+33
2.9179189402e+01	3.1122589684e+03	6.5849811131e+33
2.9120559115e+01	3.1384554809e+03	6.6404082295e+33
2.9063008603e+01	3.1713634534e+03	6.7100355902e+33
2.9004843809e+01	3.1840365371e+03	6.7368495594e+33
2.8946911365e+01	3.2220457367e+03	6.8172702007e+33
2.8889209880e+01	3.2547921726e+03	6.8865557787e+33
2.8831737977e+01	3.2810707976e+03	6.9421566305e+33
2.8773666341e+01	3.3114878444e+03	7.0065136395e+33
2.8716652787e+01	3.3225281021e+03	7.0298728423e+33
2.8659043361e+01	3.3672623645e+03	7.1245225087e+33
2.8601664617e+01	3.3797790832e+03	7.1510056378e+33
2.8544515171e+01	3.4114311615e+03	7.2179757519e+33
2.8487593653e+01	3.4624807900e+03	7.3259875988e+33
2.8430898701e+01	3.4814824404e+03	7.3661916789e+33
2.8374428965e+01	3.5170422983e+03	7.4414299528e+33
2.8317381209e+01	3.5417608594e+03	7.4937299893e+33
2.8261361067e+01	3.5621798559e+03	7.5369329194e+33
2.8204766606e+01	3.5904890829e+03	7.5968301604e+33
2.8148398356e+01	3.6215298873e+03	7.6625069285e+33
2.8092254965e+01	3.6594010452e+03	7.7426354982e+33
2.8036335090e+01	3.7160966028e+03	7.8625931173e+33
2.7979854505e+01	3.7290585850e+03	7.8900183440e+33
2.7924380777e+01	3.7680666320e+03	7.9725523668e+33
2.7868349915e+01	3.7816950814e+03	8.0013877185e+33
2.7812543457e+01	3.8280531377e+03	8.0994730412e+33
2.7757730528e+01	3.8466992039e+03	8.1389247691e+33
2.7701598382e+01	3.8815881397e+03	8.2127434922e+33
2.7646457107e+01	3.9139401616e+03	8.2811945611e+33
2.7591534917e+01	3.9463642215e+03	8.3497980496e+33
2.7536072255e+01	3.9934780521e+03	8.4494824549e+33
2.7481587336e+01	4.0336211566e+03	8.5344180556e+33
2.7426565371e+01	4.0606250170e+03	8.5915533751e+33
2.7371763289e+01	4.1075210007e+03	8.6907768557e+33
2.7317179774e+01	4.1858451465e+03	8.8564966837e+33
2.7262813522e+01	4.1676370039e+03	8.8179715236e+33
2.7207922947e+01	4.2112408177e+03	8.9102293635e+33
2.7153990279e+01	4.2415530768e+03	8.9743646608e+33
2.7099536598e+01	4.2920040163e+03	9.0811097893e+33
2.7046032347e+01	4.3352798387e+03	9.1726736586e+33
2.6992010365e+01	4.3550457175e+03	9.2144947087e+33
2.6937478113e+01	4.3943796312e+03	9.2977182071e+33
2.6883888486e+01	4.4476485321e+03	9.4104256359e+33
2.6830511658e+01	4.4787509132e+03	9.4762326892e+33
2.6776629358e+01	4.5205794939e+03	9.5647344549e+33
2.6723677178e+01	4.5770922420e+03	9.6843052820e+33
2.6670222696e+01	4.5957654060e+03	9.7238143438e+33
2.6616981634e+01	4.6458838168e+03	9.8298559015e+33
2.6563952716e+01	4.6766597870e+03	9.8949723280e+33
2.6510431855e+01	4.7842689338e+03	1.0122653959e+34
2.6457826225e+01	4.7632451816e+03	1.0078171475e+34
2.6404731728e+01	4.8043768803e+03	1.0165198764e+34
2.6352544338e+01	4.8469123486e+03	1.0255196176e+34
2.6299871131e+01	4.8968475092e+03	1.0360850009e+34
2.6247408068e+01	4.9348199016e+03	1.0441192773e+34
2.6194467728e+01	4.9789943084e+03	1.0534657885e+34
2.6142423926e+01	5.0378136922e+03	1.0659109140e+34
2.6090586516e+01	5.0718338433e+03	1.0731089670e+34
2.6038276266e+01	5.1131521732e+03	1.0818511837e+34
2.5986175355e+01	5.1579659861e+03	1.0913329818e+34
2.5934282528e+01	5.1990085381e+03	1.1000168488e+34
2.5882596542e+01	5.2455941428e+03	1.1098735262e+34
2.5831116163e+01	5.2965992548e+03	1.1206652920e+34
2.5779175582e+01	5.3342796412e+03	1.1286377852e+34
2.5728105382e+01	5.4475945053e+03	1.1526131756e+34
2.5676577826e+01	5.4241667664e+03	1.1476562868e+34
2.5625256253e+01	5.4821374248e+03	1.1599218371e+34
2.5574139430e+01	5.5360598092e+03	1.1713308454e+34
2.5523226136e+01	5.5644703397e+03	1.1773420035e+34
2.5471866324e+01	5.6134329668e+03	1.1877016161e+34
2.5421359026e+01	5.6688181162e+03	1.1994201192e+34
2.5370407956e+01	5.7069439352e+03	1.2074868579e+34
2.5319660717e+01	5.7552123897e+03	1.2176995961e+34
2.5269116086e+01	5.8262121301e+03	1.2327218663e+34
2.5218772855e+01	5.8551041187e+03	1.2388348922e+34
2.5168629820e+01	5.9112691730e+03	1.2507184092e+34
2.5118685790e+01	5.9515981652e+03	1.2592512997e+34
2.5068311148e+01	6.0043571289e+03	1.2704141491e+34
2.5018138150e+01	6.0737737094e+03	1.2851014510e+34
2.4968165589e+01	6.1064444227e+03	1.2920139873e+34
2.4918392265e+01	6.1704014547e+03	1.3055461468e+34
2.4868816990e+01	6.2105750970e+03	1.3140461681e+34
2.4818822595e+01	6.2695092799e+03	1.3265155829e+34
2.4769642326e+01	6.3171753889e+03	1.3366008757e+34
2.4720045485e+01	6.3648000191e+03	1.3466773922e+34
2.4670646864e+01	6.4351891168e+03	1.3615704613e+34
2.4621445279e+01	6.4755502994e+03	1.3701101628e+34
2.4572439552e+01	6.5298144276e+03	1.3815914779e+34
2.4523628516e+01	6.5809386288e+03	1.3924084409e+34
2.4474412002e+01	6.6370801406e+03	1.4042869766e+34
2.4425392638e+01	6.6953353576e+03	1.4166127345e+34
2.4376569242e+01	6.7768084340e+03	1.4338509744e+34
2.4327940640e+01	6.8086042496e+03	1.4405783980e+34
2.4279505669e+01	6.9180021353e+03	1.4637250262e+34
2.4231263176e+01	6.9203150484e+03	1.4642143971e+34
2.4182627201e+01	7.0082185406e+03	1.4828131976e+34
2.4134186075e+01	7.0411707363e+03	1.4897852905e+34
2.4086518775e+01	7.1127649373e+03	1.5049333378e+34
2.4038461538e+01	7.1531250295e+03	1.5134728086e+34
2.3990020152e+01	7.2164694098e+03	1.5268753420e+34
2.3942346829e+01	7.2744502480e+03	1.5391430462e+34
2.3894291654e+01	7.3360274252e+03	1.5521716711e+34
2.3846997663e+01	7.4543886559e+03	1.5772147822e+34
2.3799324099e+01	7.4580320000e+03	1.5779856484e+34
2.3751840768e+01	7.5200217843e+03	1.5911015736e+34
2.3704546532e+01	7.5868288771e+03	1.6052367548e+34
2.3656880604e+01	7.6946618764e+03	1.6280522811e+34
2.3609963405e+01	7.7276892101e+03	1.6350402718e+34
2.3562676720e+01	7.7825764755e+03	1.6466534316e+34
2.3515579071e+01	7.8354872185e+03	1.6578483947e+34
2.3468669326e+01	7.9052149042e+03	1.6726015209e+34
2.3421946364e+01	7.9810438727e+03	1.6886455690e+34
2.3375409070e+01	8.0558129373e+03	1.7044653604e+34
2.3328512107e+01	8.1013963239e+03	1.7141099865e+34
2.3281802943e+01	8.1726400637e+03	1.7291838825e+34
2.3235280450e+01	8.2623728897e+03	1.7481697372e+34
2.3188943512e+01	8.3095296541e+03	1.7581472617e+34
2.3142791021e+01	8.3896241227e+03	1.7750938131e+34
2.3096821877e+01	8.4405842822e+03	1.7858760677e+34
2.3050503654e+01	8.5406186929e+03	1.8070415527e+34
2.3004370830e+01	8.5973232807e+03	1.8190392253e+34
2.2958422297e+01	8.6708349196e+03	1.8345929680e+34
2.2912656952e+01	8.7680710861e+03	1.8551663948e+34
2.2867073701e+01	8.7893972095e+03	1.8596786196e+34
2.2821150642e+01	8.8711041713e+03	1.8769663455e+34
2.2775930397e+01	8.9403284339e+03	1.8916129564e+34
2.2730372323e+01	9.0172707654e+03	1.9078925721e+34
2.2684996144e+01	9.0925196646e+03	1.9238138879e+34
2.2639800770e+01	9.1659050376e+03	1.9393409151e+34
2.2594274611e+01	9.2317019701e+03	1.9532623645e+34
2.2549439646e+01	9.3126109422e+03	1.9703812501e+34
2.2504275812e+01	9.3967441929e+03	1.9881823352e+34
2.2459292532e+01	9.4763580763e+03	2.0050272033e+34
2.2414488726e+01	9.5438587096e+03	2.0193091252e+34
2.2369863320e+01	9.6157731429e+03	2.0345249279e+34
2.2325415253e+01	9.7103446538e+03	2.0545345614e+34
2.2280647030e+01	9.7730538447e+03	2.0678027002e+34
2.2236057992e+01	9.8565408313e+03	2.0854670474e+34
