#Wavelength (micron)	Flux (erg s-1 cm-2 micron-1)	 r2 F (cm2 erg s-1 cm-2 micron-1)
4.5083630134e+01	1.2376035506e+02	4.2091488592e+32
4.5038958699e+01	1.2620449280e+02	4.2922751525e+32
4.4994375703e+01	1.2529795784e+02	4.2614434653e+32
4.4947860482e+01	1.2721928559e+02	4.3267887406e+32
4.4903457566e+01	1.3447694458e+02	4.5736251936e+32
4.4859142293e+01	1.3080524989e+02	4.4487491013e+32
4.4814914404e+01	1.2213706223e+02	4.1539398940e+32
4.4768769307e+01	1.4037837903e+02	4.7743358014e+32
4.4724719352e+01	1.2788737147e+02	4.3495106611e+32
4.4680755998e+01	1.2772997528e+02	4.3441575413e+32
4.4634886627e+01	1.3857124842e+02	4.7128744254e+32
4.4591099617e+01	1.3062744019e+02	4.4427017085e+32
4.4545414050e+01	1.2363770400e+02	4.2049774382e+32
4.4501802323e+01	1.2886606290e+02	4.3827964246e+32
4.4456299458e+01	1.3695310574e+02	4.6578406187e+32
4.4412861965e+01	1.2743678330e+02	4.3341859421e+32
4.4367540707e+01	1.3137635259e+02	4.4681725775e+32
4.4324276406e+01	1.2771986224e+02	4.3438135922e+32
4.4279135671e+01	1.2697956249e+02	4.3186356435e+32
4.4236043528e+01	1.2867349945e+02	4.3762472494e+32
4.4191082240e+01	1.2817083938e+02	4.3591515402e+32
4.4148161229e+01	1.6216548893e+02	5.5153258279e+32
4.4103378319e+01	1.2513487635e+02	4.2558969856e+32
4.4058686170e+01	1.3578837983e+02	4.6182277338e+32
4.4016021832e+01	1.4766636935e+02	5.0222038373e+32
4.3971506464e+01	1.3908917362e+02	4.7304893088e+32
4.3927081045e+01	1.5768650609e+02	5.3629934797e+32
4.3882745305e+01	1.3467203373e+02	4.5802602689e+32
4.3840420868e+01	1.3249452925e+02	4.5062023002e+32
4.3796259799e+01	1.3301656021e+02	4.5239568229e+32
4.3752187609e+01	1.7181572583e+02	5.8435349998e+32
4.3708204030e+01	1.3839052878e+02	4.7067280638e+32
4.3664308794e+01	1.8616490386e+02	6.3315574066e+32
4.3620501636e+01	1.6176066563e+02	5.5015575942e+32
4.3576782290e+01	1.4208642454e+02	4.8324272460e+32
4.3533150494e+01	1.4672296389e+02	4.9901181668e+32
4.3489605984e+01	1.4975303737e+02	5.0931724147e+32
4.3446148499e+01	1.4287913381e+02	4.8593876674e+32
4.3402777778e+01	1.7127318025e+02	5.8250827652e+32
4.3359493561e+01	1.4455213522e+02	4.9162872456e+32
4.3316295590e+01	1.4470734380e+02	4.9215659634e+32
4.3273183608e+01	1.5502386877e+02	5.2724359114e+32
4.3230157358e+01	1.4574394172e+02	4.9568211546e+32
4.3187216584e+01	1.4527356366e+02	4.9408233718e+32
4.3144361032e+01	1.5078214168e+02	5.1281727444e+32
4.3101590449e+01	1.4043580676e+02	4.7762889462e+32
4.3057050592e+01	1.5585047230e+02	5.3005490925e+32
4.3014452856e+01	1.5223637150e+02	5.1776317962e+32
4.2971939324e+01	1.4373091421e+02	4.8883571262e+32
4.2929509745e+01	1.5118646877e+02	5.1419241022e+32
4.2885324642e+01	1.5727269844e+02	5.3489196838e+32
